TF	target	importance
Hnrnpc	Smap2	4.19238270388478
Ppp1r10	Cd200r1	4.191758426271853
Ddit3	Rabep1	4.19081187872238
Zcchc17	Cops8	4.187208247398176
Zfp397	Asxl2	4.183375486855473
Irf7	Pgrmc1	4.182089771206093
Tbx21	Suclg1	4.177501198435956
Tsc22d4	Capzb	4.176294721751792
Hspa5	2810013P06Rik	4.17559139118903
Irf9	5830428M24Rik	4.175117875302151
Bclaf1	Ifi27	4.175048442719457
Zfp207	Zfp664	4.173906533900866
Zfp664	Naxd	4.173476099795831
Rbms1	Dhx29	4.170882517411891
Ikzf3	Rab18	4.170395577202483
Klf3	Tmem131l	4.161451267921556
Xpa	Dhps	4.160118077041912
Bclaf1	Smdt1	4.159467662587305
Smap2	Trim12a	4.158944239631515
Hif1a	Psmb6	4.15746269835417
Mapk1	Trmt13	4.156344322365914
Rbbp5	Trp53	4.152411541217406
Ikzf3	Ube2b	4.151436403343511
Tbx21	Dcaf11	4.150472914485431
Rbms1	Sh3glb1	4.143172399011226
Tia1	Ppp4r3b	4.14287306278627
Lcor	Fgd3	4.138040778772823
Prdx5	Cfap97	4.13262669140102
Trim21	Pafah1b1	4.130985316212471
Zfp664	Emb	4.129859890326913
Prdx5	Zcchc6	4.124846068311892
Irf2	Tnfaip8l2	4.123434608111006
Zfp24	Gbp8	4.119075364766013
Trp53	Snx3	4.118522413741797
Eef1d	Ldha	4.11791832097736
Kdm5a	Ppp4r3b	4.117388246733338
Klf6	Cdk2ap2	4.116636683290968
Hspa5	Fcho2	4.116225184415335
Yeats4	Tk2	4.114855949131496
Pik3c3	Tbrg1	4.110686971306253
Irf1	Thap3	4.110436733386946
Bclaf1	Rbck1	4.110289860052267
Zfp148	Rora	4.107469979843634
Ilf2	Golm1	4.105185136685511
Cnot4	Arhgef6	4.103570724995644
Supt20	Trim21	4.101180438695404
Ezh2	Elovl1	4.1002990949430425
Smarca4	Timm17a	4.097064686363389
Ctcf	Armc1	4.0963332937072146
Prdx5	Spag9	4.096022959158815
Tia1	Idh3g	4.095215532456278
Ddit3	Wrn	4.094237944210835
Taf1	Vim	4.091960388226006
Foxn3	Ptpre	4.089586048893975
H2afy	M6pr	4.085163041615415
Ncald	Sp3	4.077815246140226
Hes6	March2	4.074266742595595
Smarcc1	Galnt6	4.067936871003639
Zfx	Rtfdc1	4.067397710274304
Psmc2	Dgka	4.06718924634707
Prdx5	Il2rg	4.067037057727821
Zfp707	Gimap5	4.066876360965252
Supt20	Cd48	4.065470122471162
Zfp110	Flywch1	4.061330452533059
Pum3	Fgd3	4.059629107542707
Trim21	Glmp	4.059162737424319
Sp3	Fbxl12	4.052987693759561
Zmat2	Sec62	4.052892139137146
Zfp646	Nucb1	4.051804742221875
Mlx	Abi1	4.05148415593592
Pum3	Cox6a1	4.051414212803784
Cers4	Klf3	4.047160143418047
Nucb1	Dpp8	4.0464066184782865
Ezr	Atp2b1	4.041366606391971
Lrrfip1	Ddx52	4.038150582038974
Irf3	Il10ra	4.034595893225737
Pum3	Cnot4	4.034066654132881
Elf2	Nabp1	4.03281445836448
Tagln2	Fasl	4.02867961072123
Zbtb38	Zfc3h1	4.028549436909227
Chd1	Arid4b	4.025014032443792
Nelfb	Cd72	4.018536884853258
Ubtf	Mical1	4.012703565769726
Topors	Acin1	4.012477432766899
Suclg1	Atp5j	4.0084440653305995
Hnrnpc	Mapkap1	4.008243560108284
Mef2a	Cox6a1	4.007184866462173
Setbp1	Fam111a	4.006714170437445
Cers2	Taf12	4.002311726222016
Nucb1	Slc25a1	4.000574937403154
Foxn3	Rps9	3.9974655767176284
Aggf1	Htatsf1	3.9940490818144565
Smarca4	Cdkn2aipnl	3.9939399154021253
Tsn	Dpm2	3.9900484370948504
Zfp707	Golga5	3.9826234249981467
Eef1d	Mrpl30	3.9807944191695572
Zfp664	Vsir	3.979273025493847
Nr4a2	Ehd4	3.9758012255357302
Ezr	Clip1	3.9738057427130267
Klf3	Uqcrh	3.9709008079774257
Zc3h7a	Akap9	3.9666963616103854
Git2	Cd200r1	3.964644346785468
Yeats4	Gimap9	3.9645534726705414
